LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93602	1014419			319	Treatment light	light	15	mol/m2/day										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	light = mol de photons par 24 heures par m2.		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93602	1014421			363	Treatment P (phosphorus) supply	P	2	mmol/l										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	P nutrition millimoles.		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93602	1014422			364	Treatment K (potassium) supply	K	4.05	mmol/l										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	K nutrition millimoles.		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93602	1014424			315	Treatment plant growth temperature during day	temperature	28	C										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	growth day temperature		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93602	1014425			361	Sampling date: day of first harvest	first.harvest	7	day										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	first.harvest after treatment started = premier jour de recolte		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93602	1014426			362	Sampling date: day of second harvest	last.harvest	22	day										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	last.harvest after treatment started = dernier jour de recolte		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93602	1014427			365	Period between first and second harvest	time.period	15	days										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	time.period = dernier jour - premier jour		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93602	1014428			366	Treatment growth medium / substrat / soil	growth.medium	sand											Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	growth.medium = soil, hydroponic sand cultur, nutrient solution		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93602	1014432	3115	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	6582	SLA: petiole  excluded	SLA	384	cm2/g	Single				38.4	mm2 mg-1			1.98222	Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	SLA (cm g) = specific leaf area (ou 1/specific leaf mass (SLM))		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93602	1014434			327	Treatment: Exposition	Exposition	growth chambers											Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	Exposition	Growth chamber	
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93619	1014691			319	Treatment light	light	15	mol/m2/day										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	light = mol de photons par 24 heures par m2.		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93619	1014693			363	Treatment P (phosphorus) supply	P	2	mmol/l										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	P nutrition millimoles.		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93619	1014694			364	Treatment K (potassium) supply	K	4.05	mmol/l										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	K nutrition millimoles.		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93619	1014696			315	Treatment plant growth temperature during day	temperature	28	C										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	growth day temperature		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93619	1014697			361	Sampling date: day of first harvest	first.harvest	7	day										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	first.harvest after treatment started = premier jour de recolte		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93619	1014698			362	Sampling date: day of second harvest	last.harvest	22	day										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	last.harvest after treatment started = dernier jour de recolte		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93619	1014699			365	Period between first and second harvest	time.period	15	days										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	time.period = dernier jour - premier jour		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93619	1014700			366	Treatment growth medium / substrat / soil	growth.medium	sand											Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	growth.medium = soil, hydroponic sand cultur, nutrient solution		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93619	1014704	3115	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	6582	SLA: petiole  excluded	SLA	330	cm2/g	Single				33	mm2 mg-1			1.60624	Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	SLA (cm g) = specific leaf area (ou 1/specific leaf mass (SLM))		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Festuca elatior	64617	Lolium arundinaceum	93619	1014706			327	Treatment: Exposition	Exposition	growth chambers											Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	Exposition	Growth chamber	
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Taraxacum officinale	99439	Taraxacum campylodes	93954	1019747			319	Treatment light	light	15.876	mol/m2/day										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	light = mol de photons par 24 heures par m2.		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Taraxacum officinale	99439	Taraxacum campylodes	93954	1019749			363	Treatment P (phosphorus) supply	P	0.19	mmol/l										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	P nutrition millimoles.		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Taraxacum officinale	99439	Taraxacum campylodes	93954	1019750			364	Treatment K (potassium) supply	K	0.985	mmol/l										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	K nutrition millimoles.		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Taraxacum officinale	99439	Taraxacum campylodes	93954	1019752			315	Treatment plant growth temperature during day	temperature	25	C										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	growth day temperature		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Taraxacum officinale	99439	Taraxacum campylodes	93954	1019753			361	Sampling date: day of first harvest	first.harvest	0	day										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	first.harvest after treatment started = premier jour de recolte		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Taraxacum officinale	99439	Taraxacum campylodes	93954	1019754			362	Sampling date: day of second harvest	last.harvest	17	day										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	last.harvest after treatment started = dernier jour de recolte		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Taraxacum officinale	99439	Taraxacum campylodes	93954	1019755			365	Period between first and second harvest	time.period	17	days										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	time.period = dernier jour - premier jour		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Taraxacum officinale	99439	Taraxacum campylodes	93954	1019756			366	Treatment growth medium / substrat / soil	growth.medium	sand											Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	growth.medium = soil, hydroponic sand cultur, nutrient solution		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Taraxacum officinale	99439	Taraxacum campylodes	93954	1019760	3115	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	6582	SLA: petiole  excluded	SLA	441	cm2/g	Single				44.1	mm2 mg-1			2.49535	Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	SLA (cm g) = specific leaf area (ou 1/specific leaf mass (SLM))		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Taraxacum officinale	99439	Taraxacum campylodes	93954	1019762			327	Treatment: Exposition	Exposition	growth chambers											Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	Exposition	Growth chamber	
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Taraxacum officinale	99439	Taraxacum campylodes	94078	1021363			319	Treatment light	light	15.1	mol/m2/day										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	light = mol de photons par 24 heures par m2.		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Taraxacum officinale	99439	Taraxacum campylodes	94078	1021365			363	Treatment P (phosphorus) supply	P	1	mmol/l										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	P nutrition millimoles.		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Taraxacum officinale	99439	Taraxacum campylodes	94078	1021366			364	Treatment K (potassium) supply	K	3	mmol/l										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	K nutrition millimoles.		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Taraxacum officinale	99439	Taraxacum campylodes	94078	1021368			366	Treatment growth medium / substrat / soil	growth.medium	sand											Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	growth.medium = soil, hydroponic sand cultur, nutrient solution		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Taraxacum officinale	99439	Taraxacum campylodes	94078	1021369			367	Treatment nutrient supply level	flushes.week	4200	ml										Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	nutrient soulution flush per week		
Shipley	Bill	50	Leaf and Whole Plant Traits Database	Taraxacum officinale	99439	Taraxacum campylodes	94078	1021373	3115	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	6582	SLA: petiole  excluded	SLA	400.5	cm2/g	Single				40.05	mm2 mg-1			2.2114	Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 	SLA (cm g) = specific leaf area (ou 1/specific leaf mass (SLM))		
