no,ID,plot,plot_old,block,dataset,year,herbHeight,herbCover,mossCover,litterCover,soilCover,botanist,plotSize,photoName_June,photoDate_June,photoName_April,photoDate_April,longitude,latitude
184,X03M18,M18,VW6,middle,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.652827081873026,48.291540368710116
185,X03S01,S01,MM1,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.651660110984622,48.28874897343637
186,X03S02,S02,MM2,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.651768280160614,48.288695341583306
187,X03S03,S03,MM3,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.651810658963173,48.288407689150475
188,X03S04,S04,MM4,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.651917973215157,48.288479958548294
189,X03S05,S05,MM5,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.652038763092959,48.28855226854405
190,X03S06,S06,MM6,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.651998154155649,48.288579125315046
191,X03S07,S07,MW1,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.652621306881766,48.288095376227616
192,X03S08,S08,MW2,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.652688804634767,48.28807759343602
193,X03S09,S09,MW3,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.652810263965039,48.288050980085934
194,X03S10,S10,MW4,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.65275660661722,48.288014845812754
195,X03S11,S11,MW5,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.652797275557267,48.28797899581077
196,X03S12,S12,MW6,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.652770325210787,48.28797891459115
197,X03S13,S13,MG1,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.654189157776889,48.2873986276653
198,X03S14,S14,MG2,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.654256532890125,48.28739882986948
199,X03S15,S15,MG3,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.654350858049904,48.28739911288901
200,X03S16,S16,MG4,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.654364575358915,48.28736318147032
201,X03S17,S17,MG5,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.654404637012838,48.28741726050159
202,X03S18,S18,MG6,south,blocks,2003,NA,NA,NA,NA,NA,Daniela Röder,4,na,NA,na,NA,11.654404273625062,48.28747121826684
203,X18N01,N01,Nordteil1,north,blocks,2018,19,97.5,0,1,0,Markus Bauer,4,108-0268,2018-06-18,na,NA,11.65367978016041,48.29498730508457
204,X18N02,N02,Nordteil2,north,blocks,2018,18,97.5,0,0,0,Markus Bauer,4,108-0263,2018-06-18,na,NA,11.65315046758939,48.295534293817816
205,X18N03,N03,Nordteil3,north,blocks,2018,16,90,0,4,1,Markus Bauer,4,108-0264,2018-06-18,na,NA,11.653016669180404,48.29539000087162
206,X18N04,N04,Nordteil4,north,blocks,2018,20,90,0,10,1,Markus Bauer,4,108-0265,2018-06-18,na,NA,11.653124911813693,48.29532737488757
207,X18N05,N05,Nordteil5,north,blocks,2018,22,97.5,0,2,0,Markus Bauer,4,108-0266,2018-06-18,na,NA,11.65326035149296,48.29522885813042
208,X18N06,N06,Nordteil6,north,blocks,2018,17,90,0,10,0,Markus Bauer,4,108-0267,2018-06-18,na,NA,11.65328785265114,48.29514800271527
209,X18M01,M01,VG1,middle,blocks,2018,13,90,0,4,0,Markus Bauer,4,108-0292,2018-06-20,na,NA,11.653017997635422,48.291208197777394
210,X18M02,M02,VG2,middle,blocks,2018,16,97.5,0,1,0,Markus Bauer,4,108-0291,2018-06-20,na,NA,11.653286424262717,48.291370882317295
211,X18M03,M03,VG3,middle,blocks,2018,18,97.5,0,2,0,Markus Bauer,4,108-0290,2018-06-20,na,NA,11.65309818495262,48.29130736374543
212,X18M04,M04,VG4,middle,blocks,2018,17,97.5,0,2,0,Markus Bauer,4,108-0289,2018-06-20,na,NA,11.653044584813271,48.2912622366648
213,X18M05,M05,VG5,middle,blocks,2018,20,90,0,4,1,Markus Bauer,4,108-0288,2018-06-20,na,NA,11.653206601179933,48.291217758757846
214,X18M06,M06,VG6,middle,blocks,2018,14,90,0,4,1,Markus Bauer,4,108-0287,2018-06-20,na,NA,11.65295007006755,48.29128893141745
215,X18M07,M07,VV1,middle,blocks,2018,19,97.5,0,4,0,Markus Bauer,4,108-0276,2018-06-19,na,NA,11.65244914162894,48.2916291606214
216,X18M08,M08,VV2,middle,blocks,2018,20,97.5,0,0,0,Markus Bauer,4,108-0275,2018-06-19,na,NA,11.652261085266286,48.29153866182498
217,X18M09,M09,VV3,middle,blocks,2018,15,97.5,0,0,0,Markus Bauer,4,108-0272,2018-06-19,na,NA,11.652287793704415,48.29157471497804
218,X18M10,M10,VV4,middle,blocks,2018,15,97.5,0,4,0,Markus Bauer,4,108-0271,2018-06-19,na,NA,11.652327490802469,48.29168275240949
219,X18M11,M11,VV5,middle,blocks,2018,15,90,0,4,2,Markus Bauer,4,108-0270,2018-06-19,na,NA,11.652381090746267,48.291727879820556
220,X18M12,M12,VV6,middle,blocks,2018,13,90,0,10,1,Markus Bauer,4,108-0269,2018-06-19,na,NA,11.652340296652124,48.29178171554834
221,X18M13,M13,VW1,middle,blocks,2018,18,97.5,0,0,0,Markus Bauer,4,108-0286,2018-06-20,na,NA,11.652841166461231,48.291450479785944
222,X18M14,M14,VW2,middle,blocks,2018,13,90,0,4,0,Markus Bauer,4,108-0285,2018-06-20,na,NA,11.653042030703148,48.29163994070322
223,X18M15,M15,VW3,middle,blocks,2018,14,97.5,0,4,0,Markus Bauer,4,108-0284,2018-06-20,na,NA,11.652975197439657,48.29155880119731
224,X18M16,M16,VW4,middle,blocks,2018,19,97.5,0,0,0,Markus Bauer,4,108-0281,2018-06-19,na,NA,11.652854277475756,48.29150447810886
225,X18M17,M17,VW5,middle,blocks,2018,20,90,0,4,1,Markus Bauer,4,108-0280,2018-06-19,na,NA,11.652948610182834,48.29150476229645
226,X18M18,M18,VW6,middle,blocks,2018,20,97.5,0,0,2,Markus Bauer,4,108-0279,2018-06-19,na,NA,11.652827081873026,48.291540368710116
227,X18S01,S01,MM1,south,blocks,2018,21,97.5,0,2,1,Markus Bauer,4,108-0304,2018-06-22,na,NA,11.651660110984622,48.28874897343637
228,X18S02,S02,MM2,south,blocks,2018,19,90,NA,10,0,Markus Bauer,4,108-0305,2018-06-22,na,NA,11.651768280160614,48.288695341583306
229,X18S03,S03,MM3,south,blocks,2018,14,80,0,10,1,Markus Bauer,4,108-0306,2018-06-22,na,NA,11.651810658963173,48.288407689150475
230,X18S04,S04,MM4,south,blocks,2018,20,97.5,0,4,0,Markus Bauer,4,108-0307,2018-06-22,na,NA,11.651917973215157,48.288479958548294
231,X18S05,S05,MM5,south,blocks,2018,17,97.5,0,2,0,Markus Bauer,4,108-0308,2018-06-22,na,NA,11.652038763092959,48.28855226854405
232,X18S06,S06,MM6,south,blocks,2018,19,97.5,0,2,0,Markus Bauer,4,108-0309,2018-06-22,na,NA,11.651998154155649,48.288579125315046
233,X18S07,S07,MW1,south,blocks,2018,17,97.5,0,1,0,Markus Bauer,4,108-327,2018-06-25,na,NA,11.652621306881766,48.288095376227616
234,X18S08,S08,MW2,south,blocks,2018,16,97.5,0,2,1,Markus Bauer,4,108-0328,2018-06-25,na,NA,11.652688804634767,48.28807759343602
235,X18S09,S09,MW3,south,blocks,2018,19,90,0,10,0,Markus Bauer,4,108-0329,2018-06-25,na,NA,11.652810263965039,48.288050980085934
236,X18S10,S10,MW4,south,blocks,2018,15,90,0,10,0,Markus Bauer,4,108-0330,2018-06-25,na,NA,11.65275660661722,48.288014845812754
237,X18S11,S11,MW5,south,blocks,2018,19,90,0,10,0,Markus Bauer,4,108-0331,2018-06-25,na,NA,11.652797275557267,48.28797899581077
238,X18S12,S12,MW6,south,blocks,2018,18,97.5,0,0,4,Markus Bauer,4,108-0332,2018-06-25,na,NA,11.652770325210787,48.28797891459115
239,X18S13,S13,MG1,south,blocks,2018,19,97.5,0,2,0,Markus Bauer,4,108-0333,2018-06-26,na,NA,11.654189157776889,48.2873986276653
240,X18S14,S14,MG2,south,blocks,2018,14,97.5,0,4,0,Markus Bauer,4,108-0334,2018-06-26,na,NA,11.654256532890125,48.28739882986948
241,X18S15,S15,MG3,south,blocks,2018,20,90,0,10,0,Markus Bauer,4,108-0335,2018-06-26,na,NA,11.654350858049904,48.28739911288901
242,X18S16,S16,MG4,south,blocks,2018,20,97.5,0,4,0,Markus Bauer,4,108-0336,2018-06-26,na,NA,11.654364575358915,48.28736318147032
243,X18S17,S17,MG5,south,blocks,2018,20,90,0,10,0,Markus Bauer,4,108-0337,2018-06-26,na,NA,11.654404637012838,48.28741726050159
244,X18S18,S18,MG6,south,blocks,2018,17,90,80,4,0,Markus Bauer,4,108-0338,2018-06-26,na,NA,11.654404273625062,48.28747121826684
